Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1570,TCNSBRANDS,EQ,3629,2073,57.12
20,1571,TCPLPACK,EQ,2516,1224,48.65
20,1572,TCS,EQ,2907521,2020463,69.49
20,1573,TDPOWERSYS,EQ,4494,3067,68.25
20,1574,TEAMLEASE,EQ,20564,9545,46.42
20,1575,TECHM,EQ,1369944,771501,56.32
20,1576,TECHNOE,EQ,11204,10360,92.47
20,1577,TEJASNET,EQ,536746,196166,36.55
20,1578,TERASOFT,EQ,2284,1687,73.86
20,1579,TEXINFRA,EQ,3344,2011,60.14
20,1580,TEXMOPIPES,EQ,19431,10639,54.75
20,1581,TEXRAIL,EQ,113608,73860,65.01
20,1582,TFCILTD,EQ,18267,14626,80.07
20,1583,TFL,EQ,2784,2237,80.35
20,1584,TGBHOTELS,EQ,2295,2295,100.00
20,1585,THANGAMAYL,EQ,1957,1421,72.61
20,1586,THEINVEST,EQ,4181,2591,61.97
20,1587,THEJO,SM,3200,3200,100.00
20,1588,THERMAX,EQ,40258,26646,66.19
20,1589,THOMASCOOK,EQ,389269,112212,28.83
20,1590,THYROCARE,EQ,9753,5550,56.91
20,1591,TI,EQ,1267126,548212,43.26
20,1592,TIDEWATER,EQ,193,151,78.24
20,1593,TIIL,EQ,3312,2851,86.08
20,1594,TIINDIA,EQ,72593,53439,73.61
20,1595,TIJARIA,EQ,10497,6463,61.57
20,1596,TIL,EQ,1788,992,55.48
20,1597,TIMESGTY,EQ,429,409,95.34
20,1598,TIMETECHNO,EQ,517491,371618,71.81
20,1599,TIMKEN,EQ,12373,8224,66.47
20,1600,TINPLATE,EQ,215228,86592,40.23
20,1601,TIPSINDLTD,EQ,112894,57879,51.27
20,1602,TIRUMALCHM,EQ,177953,71206,40.01
20,1603,TIRUPATIFL,SM,9600,9600,100.00
20,1604,TITAN,EQ,1587451,460391,29.00
20,1605,TNPETRO,EQ,25998,17689,68.04
20,1606,TNPL,EQ,63678,47899,75.22
20,1607,TORNTPHARM,EQ,621791,189568,30.49
20,1608,TORNTPOWER,EQ,914430,654444,71.57
20,1609,TOUCHWOOD,SM,3750,3750,100.00
20,1610,TPLPLASTEH,EQ,1233,308,24.98
20,1611,TREJHARA,EQ,8505,3517,41.35
20,1612,TRENT,EQ,73094,51762,70.82
20,1613,TRF,EQ,20610,14702,71.33
20,1614,TRIDENT,EQ,641830,362260,56.44
20,1615,TRIGYN,EQ,531987,143246,26.93
20,1616,TRIL,EQ,44985,22320,49.62
20,1617,TRITURBINE,EQ,21798,10988,50.41
20,1618,TRIVENI,EQ,252799,106062,41.96
20,1619,TTKHLTCARE,EQ,1256,738,58.76
20,1620,TTKPRESTIG,EQ,6852,4686,68.39
20,1621,TTL,EQ,1390,1139,81.94
20,1622,TTML,EQ,567288,332658,58.64
20,1623,TV18BRDCST,EQ,1552658,610241,39.30
20,1624,TVSMOTOR,EQ,2602641,455823,17.51
20,1625,TVSSRICHAK,EQ,650,342,52.62
20,1626,TVTODAY,EQ,12120,9194,75.86
20,1627,TVVISION,EQ,5000,5000,100.00
20,1628,TWL,EQ,278394,155089,55.71
20,1629,UBL,EQ,481476,219923,45.68
20,1630,UCALFUEL,EQ,13719,11046,80.52
20,1631,UCL,SM,6000,0,0.00
20,1632,UCOBANK,EQ,1400980,622928,44.46
20,1633,UFLEX,EQ,44257,27280,61.64
20,1634,UFO,EQ,31801,22450,70.60
20,1635,UGARSUGAR,EQ,23678,14577,61.56
20,1636,UJAAS,EQ,114523,83582,72.98
20,1637,UJJIVAN,EQ,6659730,802029,12.04
20,1638,ULTRACEMCO,EQ,640193,191357,29.89
20,1639,UMANGDAIRY,EQ,8079,6623,81.98
20,1640,UNICHEMLAB,EQ,28795,12102,42.03
20,1641,UNIENTER,EQ,3112,302,9.70
20,1642,UNIINFO,SM,54000,18000,33.33
20,1643,UNIONBANK,EQ,8516049,983093,11.54
20,1644,UNIPLY,EQ,847785,442833,52.23
20,1645,UNITEDBNK,EQ,299137,152953,51.13
20,1646,UNITEDTEA,EQ,8256,5588,67.68
20,1647,UNIVCABLES,EQ,8721,4234,48.55
20,1648,UPL,EQ,3722294,1901743,51.09
20,1649,URJA,EQ,1945027,1019060,52.39
20,1650,USHAMART,EQ,141337,105668,74.76
20,1651,UTIFEFRGR5,MF,10000,10000,100.00
20,1652,UTINEXT50,EQ,663,366,55.20
20,1653,UTINIFTETF,EQ,522,516,98.85
20,1654,UTISENSETF,EQ,667,540,80.96
20,1655,UTISXN50,EQ,13,6,46.15
20,1656,UTTAMSUGAR,EQ,43620,20669,47.38
20,1657,V2RETAIL,EQ,18813,10587,56.27
20,1658,VADILALIND,EQ,6786,2581,38.03
20,1659,VAIBHAVGBL,EQ,1687,802,47.54
20,1660,VAISHALI,SM,2560,2560,100.00
20,1661,VAKRANGEE,EQ,1959881,1502330,76.65
20,1662,VARDHACRLC,EQ,24522,24174,98.58
20,1663,VARROC,EQ,11975,2525,21.09
20,1664,VASCONEQ,EQ,136085,107619,79.08
20,1665,VASWANI,EQ,5950,5150,86.55
20,1666,VBL,EQ,59878,25259,42.18
20,1667,VEDL,EQ,8923473,2225577,24.94
20,1668,VENKEYS,EQ,100676,29387,29.19
20,1669,VERTOZ,SM,8400,0,0.00
20,1670,VESUVIUS,EQ,5650,4408,78.02
20,1671,VETO,EQ,11971,9879,82.52
20,1672,VGUARD,EQ,311154,177556,57.06
20,1673,VHL,EQ,112,31,27.68
20,1674,VIDHIING,EQ,5650,3671,64.97
20,1675,VIJIFIN,EQ,103205,73190,70.92
20,1676,VIKASECO,EQ,293902,163712,55.70
20,1677,VIKASPROP,EQ,48032,48032,100.00
20,1678,VIKASWSP,EQ,206057,113614,55.14
20,1679,VIMTALABS,EQ,25861,12443,48.11
20,1680,VINATIORGA,EQ,24218,19385,80.04
20,1681,VINDHYATEL,EQ,1876,1620,86.35
20,1682,VINYLINDIA,EQ,4705,2678,56.92
20,1683,VIPCLOTHNG,EQ,139134,90456,65.01
20,1684,VIPIND,EQ,331337,176260,53.20
20,1685,VIPULLTD,EQ,3125,2056,65.79
20,1686,VISAKAIND,EQ,36450,21677,59.47
20,1687,VISHNU,EQ,2052,1210,58.97
20,1688,VISHWARAJ,EQ,22488,15406,68.51
20,1689,VIVIDHA,EQ,102292,102292,100.00
20,1690,VIVIMEDLAB,EQ,37241,24602,66.06
20,1691,VLSFINANCE,EQ,16682,12661,75.90
20,1692,VMART,EQ,3530,2512,71.16
20,1693,VOLTAMP,EQ,2386,1717,71.96
20,1694,VOLTAS,EQ,1726476,1132172,65.58
20,1695,VRLLOG,EQ,468870,201883,43.06
20,1696,VSSL,EQ,2242,1662,74.13
20,1697,VSTIND,EQ,1869,675,36.12
20,1698,VSTTILLERS,EQ,29657,26207,88.37
20,1699,VTL,EQ,4088,2766,67.66
20,1700,WABAG,EQ,86741,35482,40.91
20,1701,WABCOINDIA,EQ,2446,1284,52.49
20,1702,WALCHANNAG,EQ,160255,51513,32.14
20,1703,WATERBASE,EQ,111443,37574,33.72
20,1704,WEBELSOLAR,EQ,21885,17361,79.33
20,1705,WEIZFOREX,EQ,2572,1356,52.72
20,1706,WEIZMANIND,EQ,801,800,99.88
20,1707,WELCORP,EQ,384522,248806,64.71
20,1708,WELENT,EQ,228232,125691,55.07
20,1709,WELSPUNIND,EQ,968567,351675,36.31
20,1710,WENDT,EQ,143,141,98.60
20,1711,WESTLIFE,EQ,52266,35305,67.55
20,1712,WFL,SM,84800,84800,100.00
20,1713,WHEELS,EQ,669,427,63.83
20,1714,WHIRLPOOL,EQ,235897,109514,46.42
20,1715,WILLAMAGOR,EQ,11118,7501,67.47
20,1716,WIPRO,EQ,1947247,915039,46.99
20,1717,WOCKPHARMA,EQ,893107,257249,28.80
20,1718,WONDERLA,EQ,45093,28869,64.02
20,1719,WORTH,SM,9000,7500,83.33
20,1720,WSTCSTPAPR,EQ,124083,66241,53.38
20,1721,XCHANGING,EQ,9421,7924,84.11
20,1722,XELPMOC,EQ,2803,2348,83.77
20,1723,XPROINDIA,EQ,573,464,80.98
20,1724,YESBANK,EQ,254612192,59307987,23.29
20,1725,ZEEL,EQ,38703704,5724265,14.79
20,1726,ZEEL,P2,521280,515950,98.98
20,1727,ZEELEARN,EQ,121607,71235,58.58
20,1728,ZENITHEXPO,EQ,5109,4710,92.19
20,1729,ZENSARTECH,EQ,15104,10634,70.41
20,1730,ZENTEC,EQ,68269,45764,67.03
20,1731,ZODIACLOTH,EQ,6871,6134,89.27
20,1732,ZODJRDMKJ,EQ,23,15,65.22
20,1733,ZOTA,EQ,23563,1398,5.93
20,1734,ZUARI,EQ,33574,24653,73.43
20,1735,ZUARIGLOB,EQ,8882,7048,79.35
20,1736,ZYDUSWELL,EQ,12678,7931,62.56
