Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Ex-Dividend-Date, Divident
"CONCOR","665.00","685.00","665.00","685.00","17.70","2.65","750.00","542.00","-48.76",,"11-SEP-2018","DIVIDEND- RS 3.75 PER SHARE"
"CUMMINSIND","781.20","825.10","781.20","820.00","30.10","3.81","984.00","613.20","-3.15",,"31-DEC-2999","-"
"DABUR","382.50","389.85","375.30","388.60","9.75","2.57","490.65","311.95","14.99",,"09-NOV-2018","INTERIM DIVIDEND - RS 1.25 PER SH"
"DALMIABHA","2,120.00","2,258.05","2,091.55","2,218.05","95.00","4.47","3,350.00","1,930.00","-25.63",,"31-DEC-2999","-"
"DCBBANK","157.75","158.20","154.05","156.55","-0.80","-0.51","206.50","139.85","-13.41",,"31-DEC-2999","-"
"DHFL","239.00","246.70","228.40","242.85","3.95","1.65","691.50","176.10","-60.95",,"31-DEC-2999","-"
"DISHTV","39.40","39.40","37.60","37.90","-1.05","-2.70","86.90","35.90","-50.13",,"05-NOV-2018","INTERIM DIVIDEND - RE 0.50 PER SHARE"
"DIVISLAB","1,509.00","1,548.00","1,486.20","1,530.00","26.15","1.74","1,562.95","978.35","49.41",,"31-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 10 PER SHARE"
"DLF","163.80","171.30","162.40","168.90","6.25","3.84","273.85","142.00","-18.03",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RE 0.80 PER SHARE (PURPOSE REVISED)"
"DRREDDY","2,456.80","2,497.95","2,449.95","2,460.00","10.75","0.44","2,670.80","1,887.00","6.02",,"31-DEC-2999","-"
